spec,lemma,best_avg_acc,sense1,sense2
[0],background,0.6594,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1224298.005,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1224298.001
[0],reading,0.5476,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1283249.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1283259.001
[0],account,0.5700000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1219574.005,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1219574.001
[0],line,0.5643,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1263591.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1263591.025
[0],deep,0.5985,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1238936.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1238936.008
[0],further,0.5445,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1249623.011,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1249623.006
[0],degree,0.5904999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1239101.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1239101.012
[0],whole,0.5704,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1306243.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1306243.006
[0],movement,0.5574,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1269573.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1269573.009
[0],big,0.5801999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1226340.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1226340.010
[0],follow,0.5506,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248194.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248194.006
[0],fail,0.5789,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1246013.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1246013.005
[0],race,0.7271999999999998,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1282615.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1282614.012
[0],must,0.5493000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1270091.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1270091.004
[0],ground,0.6679999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1252457.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1252457.011
[0],shake,0.6025,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1289619.004,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1289619.001
[0],pay,0.542,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1276209.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1276209.008
[0],solution,0.6224999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1292287.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1292287.003
[0],better,0.5281,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1226175.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1226175.006
[0],gather,0.6395000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1250220.002,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1250220.001
[0],part,0.5267000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1275784.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1275784.009
[0],get,0.5234000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1250696.006,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1250696.019
[0],scene,0.5589000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1287660.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1287660.008
