spec,lemma,best_avg_acc,sense1,sense2
[0],race,0.9518000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1282615.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1282614.012
[0],study,0.8006,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1295106.005,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1295106.015
[0],note,0.6946,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1272172.013,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1272172.001
[0],witness,0.7838,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1306793.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1306793.008
[0],dry,0.6838000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1242243.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1242243.018
[0],place,0.7681,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1278491.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1278491.024
[0],continue,0.7077,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1235657.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1235657.006
[0],mean,0.8154999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1266763.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1266773.001
[0],complete,0.7948,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1234960.007,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1234960.001
[0],spot,0.7357,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1293414.007,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1293414.015
[0],measure,0.7569,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1266792.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1266792.024
[0],head,0.8656,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1253938.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1253938.048
[0],touch,0.7379,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1299578.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1299578.023
[0],art,0.7131000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1223070.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1223070.004
[0],direct,0.7709,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1240564.002,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1240564.013
[0],record,0.7661999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1283496.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1283496.009
[0],can,0.9113000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1230339.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1236433.001
[0],hand,0.7119000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1253370.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1253370.023
[0],rule,0.7689999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1286231.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1286231.010
[0],protest,0.7696999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1281311.004,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1281311.001
[0],fit,0.6637000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1247403.015,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1247403.012
[0],approach,0.7579,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1222560.009,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1222560.001
[0],drop,0.7771,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1242150.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1242150.024
[0],check,0.7133999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1232322.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1232323.001
[0],late,0.7673,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1262336.011,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1262336.002
[0],bar,0.858,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1224811.008,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1224811.034
[0],name,0.7914000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1270390.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1270390.005
[0],bad,0.8554999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1224396.003,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1307169.002
[0],tone,0.6298999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1299292.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1299292.008
[0],fire,0.773,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1247191.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1247191.010
[0],force,0.8718999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248351.009,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248351.015
[0],transfer,0.7867,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1299918.010,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1299918.001
[0],authority,0.7609,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1223888.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1223888.004
[0],own,0.7531000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1274748.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1274748.004
[0],range,0.8886,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1282974.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1282974.026
[0],subject,0.8906000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1295267.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1295267.016
[0],block,0.8021999999999998,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1227187.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1227187.026
