spec,lemma,best_avg_acc,sense1,sense2,pos1,pos2,sense1_freq,sense2_freq,max_samp
elmo,tax,1.0,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1297266.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1297266.003,NOUN,VERB,167,21,2000
elmo,get,0.6013,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1250696.006,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1250696.019,VERB,VERB,351,238,2000
elmo,right,0.9524000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1285123.002,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1285123.022,ADJ,NOUN,199,179,2000
elmo,recognize,0.8041,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1283463.004,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1283463.001,VERB,VERB,80,54,2000
elmo,ground,0.7971999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1252457.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1252457.011,NOUN,NOUN,111,25,2000
elmo,significant,0.6485,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1290641.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1290641.004,ADJ,ADJ,41,21,2000
elmo,sex,0.7617,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1289462.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1289462.003,NOUN,NOUN,27,24,2000
elmo,think,0.7611000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1298366.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1298366.004,VERB,VERB,881,324,2000
elmo,need,0.9862,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1270832.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1270832.005,VERB,NOUN,395,72,2000
elmo,still,0.6304000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1294414.007,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1294414.009,ADV,ADV,348,71,2000
elmo,post,0.9794,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1279744.004,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1279744.011,VERB,NOUN,95,39,2000
elmo,live,0.7333000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1263900.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1263900.008,VERB,VERB,188,189,2000
elmo,act,0.9994,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1219772.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1219772.019,VERB,NOUN,67,57,2000
elmo,lot,0.7235999999999999,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1264426.003,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1264426.001,ADV,PRON,30,30,2000
elmo,free,0.9316000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248904.015,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1248904.001,ADJ,ADJ,55,42,2000
elmo,thus,0.7069,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1298662.001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1298662.002,ADV,ADV,108,33,2000
elmo,far,0.7430000000000001,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1246250.003,/dictionary/sense/en_us_NOAD3e_2012/m_en_us1246250.001,ADV,ADV,83,38,2000
